treatment,treatment_label,replicate,week,soil_pH,organic_carbon_pct,available_N_mgkg,available_P_mgkg,available_K_mgkg,MBC_ugg,MBN_ugg,MBP_ugg,MBK_ugg,urease_activity,amylase_activity,dehydrogenase_activity,genus_Bacillus,genus_Pseudomonas,genus_Azotobacter,genus_Rhizobium,genus_Streptomyces,genus_Arthrobacter,genus_Enterobacter,genus_Nitrosomonas,genus_Flavobacterium,genus_Serratia,genus_Micrococcus,genus_Paenibacillus,leaf_number_6wap,plant_height_cm,shoot_dry_matter_g,grain_yield_kg_ha
J,Combined organic-mineral blend,3,10,6.27,2.41,94.6,19.6,104.9,278.8,34.7,18.6,27.7,33.31,15.19,11.05,1384,656,611,1229,939,995,503,484,482,974,389,897,,38.0,6.86,
J,Combined organic-mineral blend,3,12,6.39,2.68,84.7,16.8,105.2,253.5,32.9,18.0,29.4,26.77,16.33,9.76,779,592,767,706,956,427,546,410,1190,252,1278,550,,42.8,6.79,4218.0
J,Combined organic-mineral blend,4,0,6.01,2.21,90.4,18.6,98.0,209.5,28.5,14.9,23.0,24.25,12.25,11.6,995,590,553,1039,949,1565,1388,1424,251,751,689,588,,41.0,6.73,
J,Combined organic-mineral blend,4,2,6.27,2.27,87.7,18.4,102.6,248.8,35.5,17.9,30.5,32.1,12.71,8.55,655,1032,1369,359,533,540,839,452,1166,882,681,991,,39.1,6.89,
J,Combined organic-mineral blend,4,4,6.21,2.22,78.9,18.3,93.4,220.0,35.7,17.4,23.8,26.16,12.89,11.26,308,648,597,1250,1527,770,445,835,343,570,556,1017,,42.6,6.51,
J,Combined organic-mineral blend,4,6,6.16,2.59,78.3,19.2,109.1,261.8,32.7,19.4,23.7,27.23,12.67,9.28,707,735,382,457,1033,1317,801,1349,1539,711,858,673,13.4,39.2,8.14,
J,Combined organic-mineral blend,4,8,6.11,2.37,83.0,16.5,108.5,261.4,37.3,14.7,26.5,26.89,11.36,10.41,932,1032,1515,1534,953,410,1852,634,425,706,1108,726,,38.2,6.14,
J,Combined organic-mineral blend,4,10,6.35,2.37,93.4,17.9,99.9,240.7,35.6,16.9,27.5,28.1,14.71,12.26,865,981,1021,860,774,461,1040,568,906,405,518,785,,44.7,6.5,
J,Combined organic-mineral blend,4,12,6.26,2.36,99.6,18.1,98.7,257.6,35.5,17.9,26.7,30.7,11.73,10.04,698,729,797,1057,505,1126,683,659,615,667,337,534,,36.6,6.89,4038.0
J,Combined organic-mineral blend,5,0,6.23,2.35,84.1,16.3,89.9,251.6,31.9,15.3,22.9,25.8,11.79,8.81,622,759,1197,917,607,517,1350,934,1156,803,716,992,,38.9,6.45,
J,Combined organic-mineral blend,5,2,5.97,2.35,77.4,13.1,94.6,231.0,30.1,10.7,21.6,27.93,11.84,10.11,1464,863,418,1141,744,373,512,882,513,665,607,834,,36.7,7.3,
J,Combined organic-mineral blend,5,4,6.21,2.12,80.9,15.6,96.0,252.6,38.7,14.0,22.9,26.21,11.04,9.92,798,776,899,1106,942,1046,852,517,1117,806,1020,468,,45.5,8.08,
J,Combined organic-mineral blend,5,6,6.02,2.21,72.1,18.7,103.1,251.7,30.0,16.7,24.9,31.7,13.72,10.76,552,913,990,655,1632,1020,873,248,931,520,791,576,12.0,40.5,6.99,
J,Combined organic-mineral blend,5,8,6.06,2.29,93.4,15.2,103.1,248.7,31.3,20.6,22.5,26.41,13.2,9.21,736,790,838,1154,694,692,1441,1083,712,678,694,456,,40.4,6.5,
J,Combined organic-mineral blend,5,10,6.08,2.46,86.5,15.6,117.0,257.6,31.4,16.1,24.8,29.72,15.8,10.19,1907,859,1464,783,323,1440,854,625,736,943,1189,865,,42.3,7.11,
J,Combined organic-mineral blend,5,12,6.05,2.43,88.4,20.6,96.6,267.1,31.9,16.6,26.3,30.07,13.93,10.85,650,843,978,1101,1312,343,251,439,244,1671,701,432,,41.3,7.31,3778.3
J,Combined organic-mineral blend,6,0,6.28,2.23,84.7,15.8,86.0,232.0,34.1,16.8,23.5,30.69,12.31,9.55,443,591,284,431,1737,1130,982,620,562,516,844,963,,41.0,6.21,
J,Combined organic-mineral blend,6,2,6.33,2.31,81.6,16.3,91.6,254.9,29.5,15.9,24.6,33.29,12.84,9.35,1059,432,643,1348,1180,969,810,429,1531,1522,947,335,,39.4,7.54,
J,Combined organic-mineral blend,6,4,6.41,2.25,89.5,16.4,102.0,258.4,36.9,15.7,26.7,23.28,15.15,9.77,672,522,648,800,960,692,976,1992,974,896,185,733,,39.5,5.85,
J,Combined organic-mineral blend,6,6,5.95,2.51,88.8,13.7,95.7,263.5,32.8,19.1,27.1,25.28,13.06,9.43,413,295,907,1000,774,768,300,729,495,781,1570,917,11.2,44.3,7.12,
J,Combined organic-mineral blend,6,8,6.23,2.42,87.2,15.8,103.5,251.4,30.6,18.1,23.8,30.48,13.3,11.2,1228,1039,1400,836,740,980,1043,318,809,944,868,1165,,39.1,7.57,
J,Combined organic-mineral blend,6,10,6.3,2.56,83.7,19.6,101.4,282.1,34.7,13.7,27.3,28.92,13.12,8.55,1551,1535,450,694,384,986,552,693,720,2261,757,629,,42.4,7.7,
J,Combined organic-mineral blend,6,12,6.37,2.47,91.6,19.6,96.3,299.6,33.6,17.0,22.5,27.15,15.49,13.18,517,788,1630,632,1385,395,1118,575,1102,587,768,739,,33.9,7.25,4010.9
